Cyclone,Peak_Date,SST_Large,SST_Anom,SST_Submeso,MSLA_Large,MSLA_Anom,MSLA_Submeso,Category,Max_Wind_mph,Min_Pressure_mb,Z_SST,Z_MSLA,Z_V,COCI_A,COCI_B,COCI_C,COCI_D,COCI_A_Class,COCI_B_Class,COCI_C_Class,COCI_D_Class
ALBERTO,2024-06-20,,0.0266369437717471,-0.0015719351863006,,0.0001370137643823,0.002435758150844,TS,50,993,0.5884087993658151,-0.030913357333818364,-0.9853243639639709,-0.1426096406439914,-0.54931384183299,0.0540602080127864,0.2787477210159984,Weak,Weak,Moderate,Moderate
BERYL,2024-07-02,,-0.0939136681869048,-0.0771627672567671,,8.302472562754505e-05,-0.0006122529782932,5,165,934,-0.5956271639139402,-0.06737550897620621,1.959304532948093,0.43210062001931543,-1.2990241423503657,-0.1398538242354384,-0.33150133644507324,Moderate,Suppressed,Weak,Weak
CHRIS,2024-07-01,,-0.0056191742808797,0.0059654877820131,,-0.0021191998536599,0.002162284846677,TS,40,1005,0.27159245816625965,-1.5546745684265022,-1.2413790506519764,-0.8414870536374064,1.5927912519433944,-1.3041031673458319,-0.6415410551301213,Weak,Strong,Suppressed,Weak
DEBBY,2024-08-05,,-0.2508037592532198,-0.1276509743838282,,0.0001306272744398,-0.0008372585583796,1,80,979,-2.1365858292126987,-0.03522655071745701,-0.21716030389995422,-0.7963242279433701,0.4716314364393155,-0.3235417482867729,-1.085906189965078,Weak,Moderate,Weak,Suppressed
ERNESTO,2024-08-16,,-0.1272005554106038,-0.0560534382403247,,5.887111272386464e-06,-0.0003804744692337,2,100,967,-0.9225676160454929,-0.11947133169914947,0.29494906947605687,-0.24902995942286185,-0.3073484179950917,-0.22965946861512987,-0.5210194738723212,Weak,Weak,Weak,Weak
FRANCINE,2024-09-11,,-0.0396304907190039,-0.0319586843317603,,-0.0007345624672554,0.0031687229336165,1,90,976,-0.06246326471169254,-0.6195429284257072,0.03889438278805132,-0.2143706034497828,-0.02652620993970768,-0.5431092909467472,-0.34100309656869987,Weak,Weak,Weak,Weak
GORDON,2024-09-14,,4.986898673319975e-15,-3.259264982818587e-15,,6.132673791162751e-19,-9.108414369374677e-18,TS,45,1004,0.32678342173255137,-0.12344726364571404,-1.1133517073079737,-0.30333851640704546,-0.2263846587634244,-0.061673748599987394,0.10166807904341867,Weak,Weak,Weak,Moderate
HELENE,2024-09-27,,-0.0523676049430708,-0.0279985962099305,,0.0018549196506373,0.0024121205586036,4,140,941,-0.18756591715505036,1.129295203083712,1.319167816228079,0.7536323673855803,1.2422989655965408,0.9486164024909512,0.47086464296433084,Moderate,Strong,Moderate,Moderate
ISAAC,2024-09-28,,-0.1701819314783736,-0.0425929995053728,,-2.27720113808601e-05,0.0002336641489513,2,105,968,-1.3447263607306439,-0.1388266175168366,0.42297641282005966,-0.35352552180914026,-0.6275079169676353,-0.3042810575412217,-0.7417764891237403,Weak,Weak,Weak,Weak
JOYCE,2024-09-27,,1.7369544890777326e-14,-1.032862258412331e-14,,4.238184711421919e-17,-4.6400987823485326e-17,TS,50,1001,0.32678342173267294,-0.12344726364568584,-0.9853243639639709,-0.2606627352923279,-0.200352070637938,-0.06167374859994638,0.10166807904349355,Weak,Weak,Weak,Moderate
KIRK,2024-10-04,,-0.0491103691568271,-0.0263766186519032,,0.0006222151321582,0.0002412754113812,4,145,934,-0.1555736754805148,0.2967732667845029,1.4471951595720818,0.5294649169586899,0.20434336506868778,0.23470939252764297,0.07059979565199405,Moderate,Moderate,Moderate,Moderate
LESLIE,2024-10-10,,5.959371615810467e-15,-2.6856652425939346e-15,,-2.9449044232967123e-08,-4.4978280870795794e-07,2,105,972,0.3267834217325609,-0.12346715241464445,0.42297641282005966,0.2087642273793254,0.08599798626404946,-0.06169090854743305,0.10165813465895823,Moderate,Moderate,Weak,Moderate
MILTON,2024-10-07,,0.0058951196225109,-0.0101477136031625,,0.0011198176134846,0.0016073945945296,5,175,901,0.38468469263839533,0.6328351332342683,2.2153592196360985,1.0776263485029207,2.254171927409523,0.5987878648592263,0.5087599129363318,Strong,Extreme,Moderate,Moderate
OSCAR,2024-10-19,,0.0153069281777795,0.0088624532349893,,-0.0003727465730511,-0.0008235497526996,1,85,986,0.4771265278798821,-0.3751861792524051,-0.08913296055595146,0.0042691293571751705,-0.009086245073272846,-0.25824534525868104,0.05097017431373849,Moderate,Weak,Weak,Moderate
KRISTY,2024-10-19,,-0.0085100316264797,-0.0209754889440131,,0.0024012758241311,-0.001950259557513,5,160,926,0.24319874861731203,1.498283466408389,1.8312771896040902,1.1909198015432638,3.1891366564777717,1.3260806441307595,0.8707411075128505,Strong,Extreme,Strong,Moderate
PATTY,2024-10-31,,-1.8758703576452846e-16,-2.0323108351753247e-15,,2.7453884576328598e-17,-5.0810892285637e-17,TS,65,982,0.3267834217325005,-0.12344726364569591,-0.6012423339319626,-0.132635391948386,-0.1222543062608689,-0.061673748599978734,0.1016680790434023,Weak,Weak,Weak,Moderate
RAFAEL,2024-11-08,,0.0354434390942892,-0.002543796274931,,-0.001379845850903,0.0004993314111507,3,120,956,0.6749053090303306,-1.055342882074627,0.807058442852068,0.14220695660259056,-0.3070353553035496,-0.8179456629662396,-0.19021878652214813,Moderate,Weak,Weak,Weak
SARA,2024-11-15,,-0.0186900264954471,-0.0135826073439774,,0.0012879285633027,0.0031186350276853,TS,50,997,0.14321186480957948,0.7463709006121152,-0.9853243639639709,-0.031913866180758754,-0.8765275725324416,0.663614982405851,0.44479138271084734,Weak,Weak,Moderate,Moderate
ALETTA,2024-07-04,,0.0018136379063844,0.0016186777972497,,-0.0008507605300827,-0.000149108309964,TS,40,1005,0.34459679049634634,-0.6980186984168442,-1.2413790506519764,-0.5316003195241581,0.4387305525339578,-0.5549675344625808,-0.1767109539602489,Weak,Moderate,Weak,Weak
BUD,2024-07-25,,-0.00945291821867,-0.0023727099445414,,-0.000142294902691,-0.0001378985982346,TS,60,1000,0.23393781151953494,-0.21954785071906943,-0.7292696772759654,-0.23829323882516662,-0.010494162068969273,-0.15732773936485994,0.007194980400232753,Weak,Weak,Weak,Moderate
CARLOTTA,2024-08-03,,0.0119688349041959,0.0082004373105191,,4.685507453401865e-05,0.000346955303492,1,90,979,0.4443401121123629,-0.09180312119977571,0.03889438278805132,0.1304771245668795,0.013711708671501933,-0.018242048697917432,0.17626849545629358,Moderate,Moderate,Weak,Moderate
DANIEL,2024-08-03,,8.724126376684399e-15,-1.0018127704237168e-14,,8.7254370000768e-18,-2.1352973654034102e-17,TS,40,1005,0.326783421732588,-0.12344726364570857,-1.2413790506519764,-0.34601429752169893,-0.2524172468891106,-0.06167374859997764,0.10166807904343972,Weak,Weak,Weak,Moderate
FABIO,2024-08-06,,0.019123856125232,0.0065777400487636,,2.813420473850402e-05,0.0002778979312689,TS,65,995,0.5146160095639855,-0.1044464875034837,-0.6012423339319626,-0.06369093729048696,-0.24661128075141367,-0.019508548534012234,0.20508476103025086,Weak,Weak,Weak,Moderate
EMILIA,2024-08-07,,-0.0141248883173796,-0.0031141523909039,,-0.0001209725267511,5.72151056820494e-05,TS,70,988,0.1880501919847855,-0.2051475257118352,-0.4732149905879598,-0.1634374414383365,0.008090714618725027,-0.1511991700823854,-0.008548666863524845,Weak,Moderate,Weak,Weak
GILMA,2024-08-25,,-0.0285285419429444,0.000755856859105,,-1.537330191811193e-05,6.956670010631077e-05,4,130,949,0.04657895747008121,-0.13382980941261868,1.0631131295400735,0.32528742586584536,-0.09275752626366862,-0.109076979280558,-0.04362542597126874,Moderate,Weak,Weak,Weak
HONE,2024-08-25,,-4.1190319033559645e-05,-1.978348303268806e-05,,-1.4194386995872936e-05,2.1250331315634485e-05,1,85,988,0.3263788545695299,-0.13303361493204247,-0.08913296055595146,0.034737426360512,-0.017233433618289152,-0.07000032107046013,0.09667261981874373,Moderate,Weak,Weak,Moderate
HECTOR,2024-08-27,,-0.0044272125690174,-0.0005930461001806,,-3.406005600979891e-05,-7.944259225628178e-05,TS,50,1000,0.2832997859912029,-0.1464501352622819,-0.9853243639639709,-0.2828249044116833,-0.13484129506316567,-0.08748666589291151,0.06842482536446051,Weak,Weak,Weak,Moderate
ILEANA,2024-09-14,,0.0453479262639036,0.0070296455864381,,-2.285555208228551e-05,0.0024086589012159,TS,45,999,0.7721861839767701,-0.13888303774201455,-1.1133517073079737,-0.16001618702440604,-0.7050891391039765,-0.013880566557138072,0.3166515731173778,Weak,Weak,Weak,Moderate
JOHN,2024-09-24,,0.0120536094668016,0.0078675449867654,,0.0005842369872,0.0018440286973626,3,115,962,0.44517275932389994,0.2711242663114112,0.6790310995080652,0.4651093750477921,0.4863879568915021,0.2950044405220161,0.3581485128176556,Moderate,Moderate,Moderate,Moderate
LANE,2024-11-02,,-1.5639459157470989e-15,-2.113851212152818e-15,,-5.157830544135454e-19,-3.546008499093123e-19,TS,45,1004,0.32678342173248703,-0.12344726364571482,-1.1133517073079737,-0.30333851640706716,-0.2263846587633519,-0.061673748599996886,0.10166807904338611,Weak,Weak,Weak,Moderate
EWINIAR,2024-05-26,,-0.1764959886322668,-0.0297483167795925,,-0.0003690575695616,-0.0002645552451848,2,105,957,-1.4067423938552006,-0.37269476603694757,0.42297641282005966,-0.4521535823573628,-0.7526599467298958,-0.5145703839579299,-0.8897185799460741,Weak,Weak,Weak,Weak
