Cyclone,Date,SST_Anomaly,MSLA_Anomaly
ALBERTO,2024-06-13,0.0349019754538686,0.0008190556873692012
ALBERTO,2024-06-14,0.0340421952021988,0.0007997937520894663
ALBERTO,2024-06-15,0.03438572575079837,0.000789861698163163
ALBERTO,2024-06-16,0.030755680425771828,0.0007227184533715344
ALBERTO,2024-06-17,0.03125980405006111,0.0006098762112907565
ALBERTO,2024-06-18,0.03519762903456928,0.000421859000549031
ALBERTO,2024-06-19,0.03729769625906514,0.0001863180321136406
ALBERTO,2024-06-20,0.022766858352206945,-6.514362657081854e-05
ALBERTO,2024-06-21,0.01994960743331403,-0.00031922281862768926
ALBERTO,2024-06-22,0.016550990378855757,-0.0005670257817471347
ALBERTO,2024-06-23,0.011611605436581672,-0.000787909837297519
ALBERTO,2024-06-24,0.010923557483674172,-0.0009660155981154209
BERYL,2024-06-25,-0.0926474555774173,0.00024631635618716923
BERYL,2024-06-26,-0.09950253267412573,0.00020005042555513885
BERYL,2024-06-27,-0.10627000614309877,0.00020411025948423227
BERYL,2024-06-28,-0.10971942353380658,0.000249092563044284
BERYL,2024-06-29,-0.11264406470396825,0.00030885764965731894
BERYL,2024-06-30,-0.11195745802114038,0.00035277122757059435
BERYL,2024-07-01,-0.11023621875441376,0.0003574899857921626
BERYL,2024-07-02,-0.10880998007187434,0.00031293579792639415
BERYL,2024-07-03,-0.10818340623131209,0.00022722291358312206
BERYL,2024-07-04,-0.10536621300175494,0.00012177040396703477
BERYL,2024-07-05,-0.10089474044035776,2.2251796877535696e-05
BERYL,2024-07-06,-0.0972107556586347,-4.890454702140045e-05
BERYL,2024-07-07,-0.09264150693017288,-8.196202698233375e-05
BERYL,2024-07-08,-0.08624855689769467,-8.370065273383546e-05
BERYL,2024-07-09,-0.08240513228367942,-7.17924942914345e-05
BERYL,2024-07-10,-0.07825690903387456,-6.506983362195242e-05
BERYL,2024-07-11,-0.07695393473730995,-7.77310877362197e-05
BERYL,2024-07-12,-0.07267441282423491,-0.0001145058102759275
BERYL,2024-07-13,-0.06549906557514037,-0.0001697515031511944
BERYL,2024-07-14,-0.060151590644086025,-0.00022895691127978811
CHRIS,2024-06-25,-0.01287134814763284,-0.007147837355305064
CHRIS,2024-06-26,-0.009046464530702465,-0.006772122640998256
CHRIS,2024-06-27,-0.0032541661096294125,-0.0060590363447769165
CHRIS,2024-06-28,0.0003630815976272727,-0.00509283857364576
CHRIS,2024-06-29,-0.002432215722887417,-0.003964752158565055
CHRIS,2024-06-30,-0.0012943076368315373,-0.0027196978184896537
CHRIS,2024-07-01,-0.008838531600082822,-0.0014580452684276812
CHRIS,2024-07-02,-0.00941264234087143,-0.0002906982267524693
CHRIS,2024-07-03,-0.0054370365824676576,0.0007057787844907839
CHRIS,2024-07-04,-0.002545932439746619,0.0016366654930396068
CHRIS,2024-07-05,-0.0013042305811675346,0.00249913478200349
CHRIS,2024-07-06,-0.011356297276164395,0.0032330510835076828
DEBBY,2024-08-01,-0.22387303153817184,0.0004913290179601307
DEBBY,2024-08-02,-0.21720188644243246,0.00034695362972421483
DEBBY,2024-08-03,-0.21607236121457735,0.00021101599770657377
DEBBY,2024-08-04,-0.2135073359914588,9.423772929743636e-05
DEBBY,2024-08-05,-0.22242430158619325,6.4027670257752055e-06
DEBBY,2024-08-06,-0.241195334021728,-4.587276449799041e-05
DEBBY,2024-08-07,-0.2588436975689109,-6.2624303923391e-05
DEBBY,2024-08-08,-0.2722723123730736,-4.5309844380665014e-05
DEBBY,2024-08-09,-0.2801352946378889,5.01160902780708e-06
DEBBY,2024-08-10,-0.2863018055961321,8.253677948900692e-05
