Cyclone,Peak_Date,Formation,Dissipation,SST_Anomaly,MSLA_Anomaly
ALBERTO,2024-06-20,2024-06-17,2024-06-20,0.026636943771747145,0.0001370137643823509
BERYL,2024-07-02,2024-06-28,2024-07-11,-0.09391366818690487,8.302472562754505e-05
CHRIS,2024-07-01,2024-06-30,2024-07-01,-0.005619174280879738,-0.0021191998536599413
DEBBY,2024-08-05,2024-08-02,2024-08-10,-0.2508037592532198,0.00013062727443989572
ERNESTO,2024-08-16,2024-08-11,2024-08-20,-0.12720055541060385,5.887111272386464e-06
FRANCINE,2024-09-11,2024-09-08,2024-09-14,-0.0396304907190039,-0.000734562467255474
GORDON,2024-09-14,2024-09-11,2024-09-17,4.986898673319975e-15,6.132673791162751e-19
HELENE,2024-09-27,2024-09-23,2024-09-28,-0.05236760494307089,0.001854919650637393
ISAAC,2024-09-28,2024-09-24,2024-10-03,-0.1701819314783736,-2.27720113808601e-05
JOYCE,2024-09-27,2024-09-27,2024-09-30,1.7369544890777326e-14,4.238184711421919e-17
KIRK,2024-10-04,2024-09-29,2024-10-10,-0.04911036915682712,0.0006222151321582707
LESLIE,2024-10-10,2024-10-01,2024-10-12,5.959371615810467e-15,-2.944904423296712e-08
MILTON,2024-10-07,2024-10-04,2024-10-11,0.005895119622510975,0.0011198176134846578
OSCAR,2024-10-19,2024-10-19,2024-10-22,0.015306928177779518,-0.0003727465730511092
KRISTY,2024-10-19,2024-10-18,2024-10-20,-0.008510031626479722,0.0024012758241311774
PATTY,2024-10-31,2024-10-31,2024-11-04,-1.8758703576452851e-16,2.7453884576328595e-17
RAFAEL,2024-11-08,2024-11-03,2024-11-10,0.03544343909428924,-0.0013798458509030173
SARA,2024-11-15,2024-11-13,2024-11-18,-0.018690026495447102,0.0012879285633027133
ALETTA,2024-07-04,2024-07-03,2024-07-06,0.0018136379063844932,-0.0008507605300827024
BUD,2024-07-25,2024-07-24,2024-07-28,-0.009452918218670062,-0.00014229490269107798
CARLOTTA,2024-08-03,2024-07-31,2024-08-08,0.011968834904195954,4.685507453401865e-05
DANIEL,2024-08-03,2024-08-03,2024-08-05,8.724126376684399e-15,8.7254370000768e-18
FABIO,2024-08-06,2024-08-05,2024-08-08,0.019123856125232076,2.813420473850402e-05
EMILIA,2024-08-07,2024-08-04,2024-08-10,-0.014124888317379689,-0.00012097252675118682
GILMA,2024-08-25,2024-08-18,2024-08-29,-0.028528541942944487,-1.537330191811193e-05
HONE,2024-08-25,2024-08-22,2024-09-01,-4.1190319033559645e-05,-1.4194386995872937e-05
HECTOR,2024-08-27,2024-08-22,2024-08-29,-0.0044272125690174345,-3.406005600979891e-05
ILEANA,2024-09-14,2024-09-11,2024-09-17,0.0453479262639036,-2.285555208228551e-05
JOHN,2024-09-24,2024-09-22,2024-09-27,0.012053609466801613,0.0005842369872000474
LANE,2024-11-02,2024-11-01,2024-11-03,-1.5639459157470989e-15,-5.157830544135454e-19
EWINIAR,2024-05-26,2024-05-20,2024-06-02,-0.17649598863226684,-0.00036905756956161207
GAEMI,2024-07-24,2024-07-19,2024-07-28,-0.01580953404748456,-0.0017651202379965383
PRAPIROON,2024-07-22,2024-07-15,2024-07-25,-0.0030746700129125316,-0.0027302801937819344
MARIA,2024-08-08,2024-08-05,2024-08-14,-0.012611871722789084,0.00027284782534624783
SON-TINH,2024-08-11,2024-08-10,2024-08-18,-0.36149395693690894,-0.0019118090856754838
AMPIL,2024-08-16,2024-08-11,2024-08-21,-0.38708197917597187,-0.0015396067584394352
JONGDARI,2024-08-19,2024-08-18,2024-08-22,-0.14529190672862088,0.000518608370648726
SHANSHAN,2024-08-27,2024-08-20,2024-09-01,-0.0007471376760732026,-0.00044236432551908526
YAGI,2024-09-04,2024-08-30,2024-09-09,-0.010292293785763027,-0.003908109089672149
LEEPI,2024-09-05,2024-09-01,2024-09-09,-0.2981575880791481,-0.0012177638499563791
BEBINCA,2024-09-15,2024-09-08,2024-09-18,-0.03516855460739479,0.0013306077200926272
PULASAN,2024-09-17,2024-09-15,2024-09-24,-0.18031694240970195,-3.0235718012704354e-05
UNNAMED,2024-09-20,2024-09-19,2024-09-22,-0.02678589317608796,-0.00010178509017675021
CIMARON,2024-09-24,2024-09-23,2024-09-30,-0.03883798403126148,-0.0003167227159425497
JEBI,2024-10-01,2024-09-24,2024-10-02,-0.13285696941898295,0.00013896492131894005
KRATHON,2024-09-30,2024-09-26,2024-10-03,-0.016170842147804253,0.0007870391791778732
BARIJAT,2024-10-10,2024-10-04,2024-10-15,-0.09274512531430845,-5.0506486938978955e-06
TRAMI,2024-10-25,2024-10-18,2024-10-29,-0.02782565266329449,0.0012423974962386829
KONG-REY,2024-10-29,2024-10-24,2024-11-02,-0.1336318000906421,0.0020603449282329705
YINXING,2024-11-07,2024-11-02,2024-11-13,-0.012170836416485113,0.002463712196329173
TORAJI,2024-11-10,2024-11-07,2024-11-15,-0.054799069411156746,0.0012638493748802187
MAN-YI,2024-11-16,2024-11-07,2024-11-20,-0.0772929076266204,0.0010478728241965442
USAGI,2024-11-13,2024-11-09,2024-11-16,-0.013359858977256828,0.00017466834751736756
REMAL,2024-05-26,2024-05-23,2024-05-28,0.013216751264679645,0.0019927315994672343
ASNA,2024-08-31,2024-08-25,2024-09-03,0.12607244107231994,-0.0020611417774347445
DANA,2024-10-24,2024-10-21,2024-10-26,0.004960611741681054,-0.0003284540485879925
FENGAL,2024-11-30,2024-11-23,2024-12-04,-0.019675224052640664,-0.0013485694788375484
ALVARO,2024-01-01,2023-12-29,2024-01-06,0.18018981147176988,0.001322767437026984
BELAL,2024-01-14,2024-01-11,2024-01-23,0.04027883938175982,0.0011219812089354633
ANGGREK,2024-01-28,2024-01-11,2024-02-01,1.4397680414081631e-15,4.916856645977074e-17
CANDICE,2024-01-26,2024-01-22,2024-01-28,0.002743101985069008,3.81067033181714e-05
DJOUNGOU,2024-02-18,2024-02-13,2024-02-20,8.356425344577449e-15,3.99866839644681e-19
ELEANOR,2024-02-22,2024-02-17,2024-02-26,0.023538729360781458,0.0012867769134397597
FILIPO,2024-03-14,2024-03-01,2024-03-15,0.19357244437102597,0.0013721565269999559
NEVILLE,2024-03-21,2024-03-07,2024-03-25,0.03515518518320796,0.0003680189499953654
GAMANE,2024-03-27,2024-03-21,2024-04-01,-0.012711247567235393,-0.0017859285907995137
HIDAYA,2024-05-03,2024-04-29,2024-05-04,-0.03624613982171129,-0.00033162455857183845
IALY,2024-05-21,2024-05-12,2024-05-22,0.0037165882393709643,-0.0007356558223879044
JASPER,2023-12-07,2023-12-02,2023-12-17,,
KIRRILY,2024-01-25,2024-01-17,2024-02-05,0.014633111396469934,0.00503878113021051
LINCOLN,2024-02-16,2024-02-13,2024-02-25,-0.3834365789603981,-0.0014797151459185372
MEGAN,2024-03-17,2024-03-12,2024-03-21,0.028406966707327102,0.006808505098897557
OLGA,2024-04-07,2024-04-04,2024-04-11,-0.009083710657038597,0.0022799819520477444
PAUL,2024-04-11,2024-04-09,2024-04-12,9.238936018246262e-15,4.47726991657278e-18
LOLA,2023-10-24,2023-10-19,2023-10-26,,
MAL,2023-11-14,2023-11-12,2023-11-17,,
NAT,2024-02-06,2024-02-03,2024-02-09,4.499155579702637e-16,1.7199409247609194e-06
OSAI,2024-02-07,2024-02-06,2024-02-09,-8.077192026674762e-16,8.562677822870581e-06
ANCHA,2024-10-02,2024-09-29,2024-10-07,4.715241732338799e-15,9.328877131995982e-18
BHEKI,2024-11-17,2024-11-08,2024-11-25,0.0008111945960632205,2.7278517000872423e-05
ROBYN,2024-11-28,2024-11-23,2024-12-01,4.2132384567081206e-15,3.687187578730679e-18
CHIDO,2024-12-12,2024-12-05,2024-12-17,0.11748749918996455,0.001408599611355707
