Cyclone,Peak_Date,Formation,Dissipation,SST_Anomaly,MSLA_Anomaly
ALBERTO,2024-06-20,2024-06-17,2024-06-20,0.025357230291088398,-2.2364292963260718e-05
BERYL,2024-07-02,2024-06-28,2024-07-11,-0.10619291070785664,0.00021183643186398324
CHRIS,2024-07-01,2024-06-30,2024-07-01,-0.004927664397257694,-0.00172071015516367
DEBBY,2024-08-05,2024-08-02,2024-08-10,-0.2387972860810785,8.926576394720722e-05
ERNESTO,2024-08-16,2024-08-11,2024-08-20,-0.12683323255169202,2.066072742907247e-05
FRANCINE,2024-09-11,2024-09-08,2024-09-14,-0.03856833904465977,-0.0006951962693993547
GORDON,2024-09-14,2024-09-11,2024-09-17,4.980835831417224e-15,5.442546633156011e-19
HELENE,2024-09-27,2024-09-23,2024-09-28,-0.04993291693466519,0.0019652224815033094
ISAAC,2024-09-28,2024-09-24,2024-10-03,-0.17023977444353333,-2.2428443324364414e-05
JOYCE,2024-09-27,2024-09-27,2024-09-30,1.7394272265436845e-14,4.282620746473556e-17
KIRK,2024-10-04,2024-09-29,2024-10-10,-0.050359627591416274,0.0005821631913729843
LESLIE,2024-10-10,2024-10-01,2024-10-12,5.964056750603388e-15,-4.040168908890299e-08
MILTON,2024-10-07,2024-10-04,2024-10-11,0.005572797515713567,0.00107085887413859
OSCAR,2024-10-19,2024-10-19,2024-10-22,0.014192389894434235,-0.0004039644686710855
KRISTY,2024-10-19,2024-10-18,2024-10-20,-0.0071154592139719775,0.002444953522961552
PATTY,2024-10-31,2024-10-31,2024-11-04,-1.8878906266896353e-16,2.7828205204243364e-17
RAFAEL,2024-11-08,2024-11-03,2024-11-10,0.0357947255750889,-0.001396940041158077
SARA,2024-11-15,2024-11-13,2024-11-18,-0.01643043955859021,0.001509838925932122
ALETTA,2024-07-04,2024-07-03,2024-07-06,0.0015721268643403175,-0.0008611462251215499
BUD,2024-07-25,2024-07-24,2024-07-28,-0.009668148726320032,-0.00014364922503814714
CARLOTTA,2024-08-03,2024-07-31,2024-08-08,0.010628315616618818,6.354205563810962e-05
DANIEL,2024-08-03,2024-08-03,2024-08-05,8.716535928003128e-15,8.764924716001583e-18
FABIO,2024-08-06,2024-08-05,2024-08-08,0.020050642616145867,2.9030143311243987e-05
EMILIA,2024-08-07,2024-08-04,2024-08-10,-0.013956153718756765,-0.00012056485653342748
GILMA,2024-08-25,2024-08-18,2024-08-29,-0.027642540168961244,-8.22755548760759e-06
HONE,2024-08-25,2024-08-22,2024-09-01,-5.92376550127031e-05,-1.4779494178629064e-05
HECTOR,2024-08-27,2024-08-22,2024-08-29,-0.004379840251160177,-3.449646325870752e-05
ILEANA,2024-09-14,2024-09-11,2024-09-17,0.043124523993145564,7.922846205447053e-05
JOHN,2024-09-24,2024-09-22,2024-09-27,0.015989488979330058,0.0007143423353863878
LANE,2024-11-02,2024-11-01,2024-11-03,-1.5671447137744973e-15,1.0491076755062074e-19
EWINIAR,2024-05-26,2024-05-20,2024-06-02,-0.17896521961786474,-0.0003399207988522144
GAEMI,2024-07-24,2024-07-19,2024-07-28,-0.014490088671658038,-0.0017503707777743673
PRAPIROON,2024-07-22,2024-07-15,2024-07-25,-0.0023265452256692187,-0.0027156283888696967
MARIA,2024-08-08,2024-08-05,2024-08-14,-0.011788445749971052,0.00021764525376399659
SON-TINH,2024-08-11,2024-08-10,2024-08-18,-0.35451346562759756,-0.001757147569542752
AMPIL,2024-08-16,2024-08-11,2024-08-21,-0.3891633604167308,-0.0014815590894536037
JONGDARI,2024-08-19,2024-08-18,2024-08-22,-0.14285654346613716,0.0008423235006313423
SHANSHAN,2024-08-27,2024-08-20,2024-09-01,0.0006353970651085365,-0.0004267202239954958
YAGI,2024-09-04,2024-08-30,2024-09-09,-0.010559934010305166,-0.0039446000256418605
LEEPI,2024-09-05,2024-09-01,2024-09-09,-0.2991256175121243,-0.0011795059605652376
BEBINCA,2024-09-15,2024-09-08,2024-09-18,-0.035060912028954574,0.0014238132666546657
PULASAN,2024-09-17,2024-09-15,2024-09-24,-0.17499728358246527,-6.840742653888194e-05
UNNAMED,2024-09-20,2024-09-19,2024-09-22,-0.02631478277371941,-5.992822193870828e-05
CIMARON,2024-09-24,2024-09-23,2024-09-30,-0.03094589713238145,-0.00036765426807818256
JEBI,2024-10-01,2024-09-24,2024-10-02,-0.13460909760319725,0.00010140737734099919
KRATHON,2024-09-30,2024-09-26,2024-10-03,-0.017026251369730905,0.0007756838614763369
BARIJAT,2024-10-10,2024-10-04,2024-10-15,-0.0929631031428677,2.0980228548724804e-07
TRAMI,2024-10-25,2024-10-18,2024-10-29,-0.02770353885074732,0.001485418516133198
KONG-REY,2024-10-29,2024-10-24,2024-11-02,-0.13396130324832223,0.0020651252860353986
YINXING,2024-11-07,2024-11-02,2024-11-13,-0.012086815500893244,0.00246719299479863
TORAJI,2024-11-10,2024-11-07,2024-11-15,-0.05440854763741672,0.0012590151350214452
MAN-YI,2024-11-16,2024-11-07,2024-11-20,-0.07639000848817848,0.001007207116457725
USAGI,2024-11-13,2024-11-09,2024-11-16,-0.013137891530437757,0.00015516593144140366
REMAL,2024-05-26,2024-05-23,2024-05-28,0.0148315510525302,0.0025624480458458004
ASNA,2024-08-31,2024-08-25,2024-09-03,0.12429465982804005,-0.002333358033155582
DANA,2024-10-24,2024-10-21,2024-10-26,0.0030526053259477097,-0.00036193043174271227
FENGAL,2024-11-30,2024-11-23,2024-12-04,-0.021875839328248225,-0.0016747892516981843
ALVARO,2024-01-01,2023-12-29,2024-01-06,0.1808150404004754,0.0012995974945544753
BELAL,2024-01-14,2024-01-11,2024-01-23,0.04262750757255435,0.0011486331700969509
ANGGREK,2024-01-28,2024-01-11,2024-02-01,1.4375784425924268e-15,4.835196190324024e-17
CANDICE,2024-01-26,2024-01-22,2024-01-28,0.00271577156904951,3.640938728491801e-05
DJOUNGOU,2024-02-18,2024-02-13,2024-02-20,8.354675102905027e-15,2.750824547713291e-19
ELEANOR,2024-02-22,2024-02-17,2024-02-26,0.02550652308010517,0.0013209672274530643
FILIPO,2024-03-14,2024-03-01,2024-03-15,0.19221276455049938,0.001267162538131859
NEVILLE,2024-03-21,2024-03-07,2024-03-25,0.038055593764586206,0.000698918373904913
GAMANE,2024-03-27,2024-03-21,2024-04-01,-0.01300551835829696,-0.001814045386051978
HIDAYA,2024-05-03,2024-04-29,2024-05-04,-0.03687489518337864,-0.00039403842323280886
IALY,2024-05-21,2024-05-12,2024-05-22,0.004395786642837993,-0.0006812421671737559
JASPER,2023-12-07,2023-12-02,2023-12-17,,
KIRRILY,2024-01-25,2024-01-17,2024-02-05,0.024540328549023598,0.005748200833055804
LINCOLN,2024-02-16,2024-02-13,2024-02-25,-0.38095374453406017,-0.0019219121390385075
MEGAN,2024-03-17,2024-03-12,2024-03-21,0.0298683318986455,0.0068183382843167925
OLGA,2024-04-07,2024-04-04,2024-04-11,-0.006631780062058316,0.002384913711925931
PAUL,2024-04-11,2024-04-09,2024-04-12,9.22339319853984e-15,4.236857070839489e-18
LOLA,2023-10-24,2023-10-19,2023-10-26,,
MAL,2023-11-14,2023-11-12,2023-11-17,,
NAT,2024-02-06,2024-02-03,2024-02-09,4.4222579928939257e-16,1.7117957548830358e-06
OSAI,2024-02-07,2024-02-06,2024-02-09,-8.051328107712209e-16,8.35103317089919e-06
ANCHA,2024-10-02,2024-09-29,2024-10-07,4.709570538777604e-15,9.334394762029436e-18
BHEKI,2024-11-17,2024-11-08,2024-11-25,0.0007890114879678657,2.6468190974002567e-05
ROBYN,2024-11-28,2024-11-23,2024-12-01,4.2073661368517834e-15,3.873612223620817e-18
CHIDO,2024-12-12,2024-12-05,2024-12-17,0.11870543559803631,0.0014262105908603492
