Cyclone,Peak_Date,SST_Large,SST_Meso,SST_Submeso,MSLA_Large,MSLA_Meso,MSLA_Submeso
ALBERTO,2024-06-20,29.654309026040252,0.031630496923975626,0.0011726317729302744,0.11501747924993419,0.00028822740434565234,0.0022547365275383297
BERYL,2024-07-02,25.786938967039614,-0.09868059287857102,-0.07833710424572553,0.10650837666536554,0.0001088022640022336,-0.0006275964432555835
CHRIS,2024-07-01,29.189540420636966,-0.0050664196184571795,0.005189915958606036,0.05560332767926109,-0.0020888715434586673,0.0021240980810650453
DEBBY,2024-08-05,27.49710667644013,-0.24532825882582168,-0.12503958505425788,0.12412666929432087,6.581684438541864e-05,-0.0009165487491747836
ERNESTO,2024-08-16,26.832588020624378,-0.1269895753577893,-0.05585060650216184,0.14477474959185638,1.5389154410726594e-05,-0.000372763618972721
FRANCINE,2024-09-11,29.940541997120743,-0.037552587685429385,-0.03203061247053413,0.22201627539181712,-0.0007037389863686364,0.003651989717632757
GORDON,2024-09-14,28.077784385516736,4.97774084398584e-15,-3.2504443488923963e-15,0.12089319924316475,5.415867763624246e-19,-9.037729330547961e-18
HELENE,2024-09-27,29.705737001721886,-0.048180907165048276,-0.027162447509498058,0.21881591624198096,0.001955032655067091,0.0024348099532849605
ISAAC,2024-09-28,19.140291059802173,-0.17037862024968664,-0.04255580585390587,0.16396750646246766,-1.8706085570397746e-05,0.00023661691772255367
JOYCE,2024-09-27,28.64462831364923,1.7384310189222205e-14,-1.0314593857332502e-14,0.1398161756756757,4.288861558191596e-17,-4.674439014041143e-17
KIRK,2024-10-04,21.738001864649892,-0.04911036915682712,-0.02637661865190326,0.1499171710274079,0.0006222151321582707,0.00024127541138123292
LESLIE,2024-10-10,27.685145085887886,5.959371615810467e-15,-2.6856652425939346e-15,0.14139388009803514,-2.944904423296712e-08,-4.4978280870795794e-07
MILTON,2024-10-07,28.87032220054678,0.005886241647509657,-0.009468623131428695,0.16927432673850215,0.00107816577327296,0.0016484343037757147
OSCAR,2024-10-19,29.588583238086805,0.014762267035278005,0.009850197984337537,0.14482776407398976,-0.0003899395109531505,-0.0008771566184774784
KRISTY,2024-10-19,29.375306625692016,0.0009771932751869094,-0.018925761431109453,0.1722408749622156,0.002478111016278775,-0.002567584512345176
PATTY,2024-10-31,20.553642531326318,-1.831648318795852e-16,-2.035167770573271e-15,0.1677736478024575,2.766113320332621e-17,-5.1114332258498464e-17
RAFAEL,2024-11-08,28.536046584375857,0.03610501147518402,-0.002456187606343162,0.13583433310645704,-0.0014135384669626628,0.0004914365620695282
SARA,2024-11-15,28.94860707912952,-0.015530117452003825,-0.012470508947984758,0.08856100568736118,0.0016203957801389924,0.0032937945618625297
ALETTA,2024-07-04,27.673831968164446,0.0024321135183306914,0.0022850914022606176,0.07053103540301134,-0.0008608905271606209,-0.00014843161241254245
BUD,2024-07-25,26.772061073361563,-0.008710954003994676,-0.0025804963940269606,0.12083723688681855,-0.00014673453103431673,-0.00014876580553615327
CARLOTTA,2024-08-03,26.168233913805256,0.01107439923386919,0.00805673352895263,0.1127235593291036,6.831547088853281e-05,0.0003784510552207366
DANIEL,2024-08-03,27.66891069252078,8.717040631951057e-15,-9.934082898650029e-15,0.13890960170697014,8.422744615458751e-18,-2.1293751230956654e-17
FABIO,2024-08-06,27.90759541456454,0.021012939291297033,0.00739271786175553,0.08243586977334097,5.85367854568812e-05,0.0003058392924621514
EMILIA,2024-08-07,25.755104183676035,-0.013841843771424217,-0.0030825883799104775,0.1119671952338019,-0.00012020416985989487,6.932879470890139e-05
GILMA,2024-08-25,25.606591192594987,-0.028528541942944487,0.0007558568591050223,0.10918848630527685,-1.537330191811193e-05,6.956670010631077e-05
HONE,2024-08-25,26.745047634945955,-4.585989412136786e-05,-2.104428120439174e-05,0.12126280651436873,-1.436221689224265e-05,2.155491307754064e-05
HECTOR,2024-08-27,26.70805952383565,-0.003987951384043421,-0.0005165744230307172,0.1272887614432134,-3.220080886621957e-05,-8.071787967586457e-05
ILEANA,2024-09-14,28.942632650771124,0.041252199462957176,0.009269006688778373,0.116350112876387,0.0001356816390903598,0.002552537292925437
JOHN,2024-09-24,29.93271197689535,0.02003334384912241,0.011772465433677744,0.06716280311439927,0.0006907777567025925,0.0018462788202190349
LANE,2024-11-02,27.86285167044596,-1.5467596968927352e-15,-2.1113269862585835e-15,0.005915311653116533,2.0631322176541817e-18,-8.596384240225757e-19
EWINIAR,2024-05-26,22.703674128746147,-0.17743072906701288,-0.02979690907500592,0.09838055214038453,-0.00034720343851785395,-0.0002501804915656119
GAEMI,2024-07-24,29.874454630384452,-0.0150674065287286,-0.007868493338735284,0.17902728350134428,-0.0017076513474609725,-0.0028378024624268706
PRAPIROON,2024-07-22,30.079972113539416,-0.004114850719362576,-0.0033227572910594183,0.15804476744024723,-0.002648764320773647,-0.0022514787732963466
MARIA,2024-08-08,27.95771071776402,-0.012601371339716613,-0.008596845476832867,0.17358582314285004,0.00026159221713210076,0.0006043338356547097
SON-TINH,2024-08-11,21.332018038301552,-0.36215645856475703,-0.055056374244554326,0.16170868011830883,-0.0018642771350317268,-0.0010443072993075759
AMPIL,2024-08-16,22.554623483689213,-0.3873291804276692,-0.058763058253795,0.15681364170347412,-0.0014956063213004361,-0.0007613375977378156
JONGDARI,2024-08-19,28.933542708995002,-0.13857874310172677,-0.04517569863463908,0.190212376884002,0.0008917399246526514,0.0004037386430587379
SHANSHAN,2024-08-27,29.431079999035813,-0.0001306789268710911,-0.00625295642211197,0.14964570453892778,-0.00042536983438055877,0.0005086470406608695
YAGI,2024-09-04,29.952521379027903,-0.010207711765349113,-0.008976088728290437,0.14371035559769843,-0.003933544234667689,-0.0023212494711035534
LEEPI,2024-09-05,22.412436307650434,-0.2990582189289683,-0.04820804147885124,0.16487344923824554,-0.0011761469721730128,-0.00040375082067998727
BEBINCA,2024-09-15,29.523903467996334,-0.03542334952039861,-0.0109029523331332,0.17014068914283834,0.0013005615127993976,0.0005494867552732853
PULASAN,2024-09-17,25.63160851674931,-0.18024513020284844,-0.029767813710064782,0.15551161052826176,-3.782840550373238e-05,-0.00011050137434014278
UNNAMED,2024-09-20,29.65283235531101,-0.025913144456508067,-0.006964593170052489,0.19359602396673786,2.8735578188105028e-05,-0.0004952984141839261
CIMARON,2024-09-24,28.550650933472944,-0.04443650292593494,-0.03098873594432864,0.19501269651219597,-0.0003001032025278293,-0.000997947539561909
JEBI,2024-10-01,24.804247178142543,-0.1307157676726911,-0.03607021603570751,0.17860279032273174,0.00015519958990329328,-0.0005199110912722359
KRATHON,2024-09-30,29.284634386448293,-0.016478303805032166,-0.008025173245369855,0.1918098321432189,0.0008305007376928975,0.00013778034980704523
BARIJAT,2024-10-10,23.799022077611763,-0.09274512531430845,-0.026312852797614094,0.1785538943797201,-5.0506486938978955e-06,-0.00036497632291621426
TRAMI,2024-10-25,29.17121731790576,-0.02782565266329449,-0.01756908979996892,0.15368524652566018,0.0012423974962386829,0.0011208474475941923
KONG-REY,2024-10-29,27.622172198828434,-0.13349758360897065,-0.04328629059260667,0.1550301234777784,0.0020615074398079867,0.0013465035402784084
YINXING,2024-11-07,28.972483568388885,-0.012170836416485113,-0.014437036438840008,0.13193924268847113,0.002463712196329173,0.0017269379172971612
TORAJI,2024-11-10,28.498559602222,-0.05479239207786299,-0.030197157285041996,0.12084570152184011,0.001242838878238893,0.0009604221623124256
MAN-YI,2024-11-16,27.507095997849934,-0.07644086376511813,-0.023052750198401608,0.14555088845669534,0.0010466961111455142,0.00026194571226973514
USAGI,2024-11-13,28.976895899887694,-0.01305516115269726,-0.0026910990319744307,0.11340068148415647,0.00014928056053812802,0.00018949319469653553
REMAL,2024-05-26,30.713868465080793,0.018104994928169287,-0.002356571303196457,0.12573053215001773,0.002781255551364386,0.003271984524591331
ASNA,2024-08-31,27.595590270790744,0.12880567899167292,0.015892858119971147,0.0902110745983476,-0.00211410142045461,-0.0004094855093628915
DANA,2024-10-24,29.76232757727367,0.0023288913565163633,0.0009246164281853105,0.14867598251012162,-0.0003802304041324866,0.0045670024816293515
FENGAL,2024-11-30,29.143192268514472,-0.019675224052640664,-0.005981949452536665,0.13263918404798897,-0.0013485694788375484,0.002382443752864581
ALVARO,2024-01-01,24.27843588284966,0.18011651258249187,0.023651881763482475,0.1617943478072887,0.001334043603236904,0.00023930995117444123
BELAL,2024-01-14,26.38779489688983,0.041277092560832646,0.0070504796080963295,0.1679080770546366,0.0011167314026688338,0.0003863976994912704
ANGGREK,2024-01-28,22.84876903464557,1.4397680414081631e-15,-3.969387077074079e-15,0.12464285242363307,4.916856645977074e-17,-5.191265345611333e-17
CANDICE,2024-01-26,25.696139813896057,0.0026948352585582287,0.001535771506112659,0.11946829639040164,3.741393702150512e-05,8.309331190333023e-05
DJOUNGOU,2024-02-18,25.2714931668147,8.358938276766157e-15,-5.936873592008128e-15,0.1435234422823471,3.0957432746684976e-19,-4.58339303111271e-17
ELEANOR,2024-02-22,28.3053888273596,0.024487177055247136,0.006151848457905088,0.16340431573981667,0.001309472956521937,0.0009009972531674388
FILIPO,2024-03-14,25.97387930851027,0.19277319750107919,0.025189200409454486,0.13888340186873938,0.001285204575270448,0.0007339203237275563
