Month,Days,Mean (m),Std (m),Min (m),Max (m)
Jan,31,0.039553810071431605,0.07301477264089856,-0.402,0.4469
Feb,29,0.044511556612529965,0.0955106069194987,-0.38970000000000005,0.4062
Mar,31,0.0532190710032455,0.12188684439074428,-0.44010000000000005,0.39480000000000004
Apr,30,0.07413684591458308,0.10746516273303314,-0.3272,0.4414
May,31,0.11860963226809815,0.09858868609138817,-0.452,0.47290000000000004
Jun,30,0.154430457391235,0.09842509050487179,-0.28900000000000003,0.6167
Jul,31,0.14984419131011967,0.1032717015235042,-0.2931,0.6334000000000001
Aug,31,0.12377615724214582,0.08983861252640288,-0.2893,0.5763
Sep,30,0.10707580013558242,0.0904689313315411,-0.30920000000000003,0.5735
Oct,31,0.1311149203678477,0.09937277760884378,-0.19970000000000002,0.5987
Nov,30,0.15596561909319298,0.10974475816658313,-0.21680000000000002,0.6374000000000001
Dec,31,0.1899628300962069,0.12431644418846304,-0.26680000000000004,0.6117
