Month,Month_Num,Variable,Mean,Std Dev,Min,Max,Median,Count,Files
January,1,adt,0.30310371990611146,0.7229477275585933,-1.4894,1.8626,0.4975,83761442,31
February,2,adt,0.304885781045684,0.723091947398669,-1.4846000000000001,1.8946,0.4969,78357478,29
March,3,adt,0.30164417913913183,0.7274299436977494,-1.5193,1.9649,0.501,83761442,31
April,4,adt,0.2959285422503432,0.7280481533826979,-1.5452000000000001,1.969,0.49110000000000004,81059460,30
May,5,adt,0.2983421723959815,0.7281674064256025,-1.5566,2.0326,0.49200000000000005,83761442,31
June,6,adt,0.2927730776000729,0.7302897211709053,-1.5511000000000001,2.0373,0.4893,81059460,30
July,7,adt,0.2984867270241121,0.7271005013322746,-1.5089000000000001,2.0978,0.4869,83761442,31
August,8,adt,0.301753239707836,0.728685947015411,-1.4999,2.0976,0.4897,83761442,31
September,9,adt,0.30487801613901694,0.7293147815601274,-1.5151000000000001,2.1664000000000003,0.49660000000000004,81059460,30
October,10,adt,0.31080057346672707,0.7287633885591569,-1.5055,2.1736,0.505,83761442,31
November,11,adt,0.3078442875723574,0.7281559455843702,-1.5509000000000002,2.1528,0.5006,81059460,30
December,12,adt,0.30769098146495616,0.7277776070145204,-1.5154,2.1303,0.5009,83761442,31
